sigmas;"=MOYENNE(F17:F65536)"
orientation;"=MOYENNE(L17:L65536)"
buildOB;"=MOYENNE(G17:G65536)"
extreme;"=MOYENNE(K17:K65536)"
scaleSpace;"=MOYENNE(I17:I65536)"
InitSift;"=MOYENNE(A17:A65536)"
readYUV;"=MOYENNE(B17:B65536)"
write_ppm;"=MOYENNE(N17:N65536)"
buildSS;"=MOYENNE(H17:H65536)"
Img;"=MOYENNE(C17:C65536)"
DoG;"=MOYENNE(J17:J65536)"
octavesW;"=MOYENNE(E17:E65536)"
octavesH;"=MOYENNE(D17:D65536)"
render;"=MOYENNE(M17:M65536)"
1;2;3;4;5;6;7;8;9;10;11;12;13;14;
5394;62;1065;131072;131072;131072;62;1;1;3;5;62;8;8;
2,04;209,68;10,33;0,07;0,10;0,05;177,42;118000,00;4000,00;3666,67;3000,00;193,55;1500,00;3375,00;
2,04;225,81;9,39;0,07;0,08;0,05;177,42;107000,00;4000,00;3666,67;3000,00;225,81;1750,00;1625,00;
2,22;193,55;9,39;0,07;0,10;0,07;161,29;107000,00;4000,00;3666,67;3000,00;161,29;2000,00;1625,00;
1,85;225,81;9,39;0,11;0,11;0,07;177,42;109000,00;5000,00;3666,67;3000,00;145,16;1625,00;2750,00;
1,85;225,81;10,33;0,06;0,08;0,05;161,29;109000,00;5000,00;3666,67;3000,00;177,42;1875,00;1750,00;
1,85;225,81;9,39;0,08;0,09;0,06;161,29;108000,00;4000,00;3666,67;2800,00;193,55;1500,00;1500,00;
2,04;209,68;9,39;0,07;0,08;0,05;193,55;104000,00;4000,00;3666,67;3000,00;193,55;1500,00;1625,00;
1,85;193,55;9,39;0,07;0,08;0,05;161,29;105000,00;3000,00;3666,67;3000,00;161,29;1625,00;3625,00;
1,85;193,55;9,39;0,07;0,09;0,05;193,55;125000,00;5000,00;4333,33;3200,00;161,29;1625,00;1875,00;
2,04;209,68;10,33;0,07;0,11;0,07;209,68;124000,00;4000,00;6000,00;3400,00;209,68;1750,00;1875,00;
2,04;258,06;10,33;0,07;0,09;0,06;209,68;124000,00;5000,00;3666,67;3600,00;161,29;1625,00;1625,00;
2,04;225,81;10,33;0,07;0,09;0,05;209,68;122000,00;5000,00;3666,67;3000,00;177,42;1500,00;1500,00;
2,04;193,55;10,33;0,06;0,08;0,05;177,42;108000,00;4000,00;3666,67;3000,00;193,55;1500,00;1625,00;
2,22;225,81;9,39;0,06;0,08;0,05;193,55;107000,00;5000,00;3666,67;3000,00;209,68;1500,00;1625,00;
1,85;209,68;9,39;0,06;0,08;0,05;161,29;107000,00;3000,00;3666,67;3000,00;177,42;1625,00;1625,00;
1,85;209,68;9,39;0,07;0,08;0,05;177,42;105000,00;4000,00;3666,67;3000,00;177,42;1625,00;1625,00;
2,04;193,55;9,39;0,07;0,08;0,05;177,42;107000,00;4000,00;3666,67;3000,00;161,29;1500,00;1750,00;
1,85;225,81;9,39;0,07;0,08;0,05;177,42;103000,00;4000,00;3666,67;3000,00;161,29;1500,00;1625,00;
1,85;209,68;9,39;0,07;0,08;0,05;225,81;111000,00;4000,00;3333,33;3000,00;161,29;1500,00;1750,00;
1,85;241,94;10,33;0,06;0,08;0,06;193,55;107000,00;4000,00;4000,00;2800,00;241,94;1625,00;7500,00;
2,04;209,68;9,39;0,07;0,08;0,05;177,42;111000,00;4000,00;3666,67;2800,00;177,42;1625,00;74875,00;
1,85;209,68;9,39;0,07;0,08;0,05;177,42;109000,00;5000,00;3666,67;2800,00;209,68;1500,00;2000,00;
1,85;209,68;9,39;0,07;0,08;0,06;177,42;106000,00;4000,00;3666,67;3200,00;225,81;1625,00;1625,00;
1,85;209,68;9,39;0,06;0,08;0,05;161,29;105000,00;4000,00;3666,67;3000,00;145,16;1625,00;1750,00;
1,85;209,68;10,33;0,06;0,08;0,05;177,42;109000,00;4000,00;4000,00;3000,00;241,94;1625,00;1625,00;
1,85;193,55;9,39;0,07;0,08;0,05;193,55;109000,00;5000,00;4333,33;3000,00;209,68;1625,00;1875,00;
2,04;209,68;9,39;0,07;0,08;0,05;177,42;109000,00;4000,00;4000,00;3000,00;177,42;1625,00;1625,00;
1,85;290,32;9,39;0,07;0,08;0,05;193,55;113000,00;4000,00;3666,67;3800,00;161,29;1625,00;1625,00;
2,04;209,68;9,39;0,06;0,08;0,05;161,29;105000,00;4000,00;3666,67;2800,00;177,42;1625,00;1500,00;
2,04;225,81;9,39;0,36;0,10;0,05;177,42;121000,00;5000,00;3666,67;3200,00;193,55;1625,00;1750,00;
1,85;258,06;9,39;0,06;0,08;0,05;241,94;113000,00;4000,00;3666,67;3000,00;177,42;1625,00;1500,00;
1,85;209,68;10,33;0,07;0,08;0,05;177,42;107000,00;4000,00;3666,67;3000,00;209,68;1625,00;664250,00;
2,04;225,81;10,33;0,07;0,08;0,05;177,42;105000,00;4000,00;3666,67;3000,00;177,42;1500,00;1375,00;
1,85;209,68;9,39;0,07;0,08;0,05;177,42;111000,00;3000,00;3666,67;3200,00;177,42;1625,00;1500,00;
2,04;209,68;9,39;0,07;0,08;0,05;177,42;114000,00;4000,00;3666,67;3400,00;209,68;2000,00;1500,00;
1,85;225,81;9,39;0,07;0,08;0,05;177,42;107000,00;5000,00;3333,33;3000,00;241,94;2125,00;1500,00;
1,85;209,68;9,39;0,06;0,08;0,05;177,42;105000,00;4000,00;4000,00;3000,00;161,29;1500,00;1500,00;
1,85;209,68;9,39;0,07;0,08;0,05;177,42;105000,00;4000,00;3666,67;3000,00;177,42;1500,00;1375,00;
1,85;209,68;9,39;0,07;0,08;0,05;177,42;112000,00;5000,00;3666,67;3000,00;177,42;1625,00;1625,00;
2,04;193,55;9,39;0,07;0,08;0,05;161,29;106000,00;4000,00;3666,67;3800,00;177,42;1500,00;1625,00;
1,85;258,06;9,39;0,08;0,08;0,05;225,81;109000,00;4000,00;3666,67;3200,00;193,55;1625,00;2000,00;
1,85;209,68;9,39;0,08;0,08;0,05;225,81;107000,00;4000,00;3666,67;3000,00;145,16;1750,00;1500,00;
1,85;241,94;9,39;0,08;0,08;0,05;177,42;114000,00;3000,00;4000,00;3600,00;193,55;1625,00;1625,00;
1,85;258,06;8,45;0,07;0,08;0,05;161,29;106000,00;5000,00;3666,67;2800,00;161,29;1625,00;1750,00;
1,85;225,81;9,39;0,06;0,08;0,05;225,81;108000,00;4000,00;3666,67;3000,00;193,55;1500,00;14750,00;
2,04;193,55;9,39;0,07;0,08;0,05;177,42;105000,00;5000,00;3666,67;3000,00;193,55;1625,00;1500,00;
1,85;225,81;8,45;0,07;0,08;0,05;177,42;111000,00;4000,00;3666,67;3400,00;177,42;1625,00;1750,00;
1,85;225,81;8,45;0,07;0,08;0,05;177,42;113000,00;4000,00;3666,67;3000,00;177,42;1625,00;1750,00;
1,85;209,68;9,39;0,07;0,08;0,05;177,42;110000,00;4000,00;3666,67;3000,00;193,55;1625,00;1750,00;
1,85;209,68;11,27;0,10;0,11;0,05;177,42;104000,00;4000,00;3666,67;2800,00;145,16;1500,00;1875,00;
2,04;225,81;9,39;0,07;0,08;0,07;225,81;109000,00;4000,00;3666,67;3000,00;177,42;1500,00;1875,00;
2,22;241,94;9,39;0,07;0,08;0,05;177,42;107000,00;4000,00;3666,67;3000,00;209,68;1500,00;1875,00;
2,04;290,32;9,39;0,08;0,08;0,05;177,42;110000,00;4000,00;3666,67;3000,00;145,16;1625,00;1750,00;
1,85;209,68;9,39;0,07;0,08;0,05;177,42;108000,00;4000,00;3666,67;3000,00;225,81;1625,00;1875,00;
1,85;209,68;8,45;0,07;0,08;0,05;177,42;106000,00;4000,00;4000,00;3600,00;177,42;1625,00;1750,00;
1,85;225,81;9,39;0,07;0,11;0,05;177,42;114000,00;4000,00;4333,33;4600,00;161,29;1875,00;2000,00;
1,85;258,06;9,39;0,06;0,08;0,05;161,29;115000,00;5000,00;4666,67;4200,00;161,29;1625,00;1875,00;
2,22;225,81;9,39;0,07;0,08;0,05;177,42;109000,00;3000,00;4000,00;3000,00;177,42;1500,00;1750,00;
2,04;209,68;9,39;0,07;0,08;0,05;177,42;112000,00;4000,00;4000,00;3000,00;225,81;1625,00;1750,00;
1,85;209,68;9,39;0,07;0,08;0,05;177,42;108000,00;4000,00;3666,67;3000,00;177,42;1750,00;2125,00;
1,85;209,68;9,39;0,06;0,08;0,05;177,42;105000,00;4000,00;3666,67;2800,00;193,55;1500,00;1875,00;
1,85;225,81;8,45;0,07;0,08;0,05;177,42;107000,00;4000,00;4333,33;2800,00;193,55;1625,00;1625,00;
1,85;209,68;9,39;0,07;0,08;0,05;161,29;105000,00;5000,00;3333,33;3000,00;193,55;1500,00;1750,00;
